Year,Median,High,Low
2020,3.81,3.81,3.81
2021,3.7473001,3.985928867,3.7473001
2022,3.670391722,3.670391722,3.535605211
2023,3.554258689,3.554258689,3.537951889
2024,3.428672622,3.456709989,3.415775067
2025,3.407534178,3.473766089,3.407534178
2026,3.306842933,3.403539322,3.204919789
2027,3.259387267,3.276237344,3.210142311
2028,3.256261656,3.387054722,3.256261656
2029,3.283019144,3.367510833,3.231078967
2030,3.287744956,3.287744956,3.253518456
2031,3.294872478,3.307746044,3.266925422
2032,3.3022921,3.327529822,3.269588189
2033,3.309409744,3.340259456,3.273108911
2034,3.326437622,3.355912911,3.252378278
2035,3.314434711,3.348302789,3.222876178
2036,3.2968057,3.343370956,3.213991822
2037,3.289906778,3.350934511,3.203508678
2038,3.284887456,3.354013556,3.202220333
2039,3.286895467,3.354618922,3.187096044
2040,3.298276078,3.363110989,3.167197967
2041,3.300553611,3.364553144,3.170746911
2042,3.288580333,3.377274311,3.146601389
2043,3.280771244,3.385764967,3.148430189
2044,3.281304644,3.394731167,3.116746511
2045,3.2859472,3.408064756,3.132566478
2046,3.286379,3.400441933,3.112480722
2047,3.278650344,3.404824844,3.085956067
2048,3.271275878,3.398838911,3.068133733
2049,3.278040744,3.401665367,3.061502922
2050,3.274738744,3.3854898,3.099110444
