Year,Median,High,Low
2020,2.7,3.04,2.7
2021,2.655567,2.824674,2.655567
2022,2.601065,2.601065,2.505547
2023,2.518766,2.518766,2.50721
2024,2.429768,2.449637,2.420628
2025,2.414788,2.461724,2.414788
2026,2.343432,2.411957,2.271203
2027,2.309802,2.321743,2.274904
2028,2.307587,2.400275,2.307587
2029,2.326549,2.386425,2.289741
2030,2.329898,2.329898,2.305643
2031,2.334949,2.344072,2.315144
2032,2.340207,2.358092,2.317031
2033,2.345251,2.367113,2.319526
2034,2.357318,2.378206,2.304835
2035,2.348812,2.372813,2.283928
2036,2.336319,2.369318,2.277632
2037,2.33143,2.374678,2.270203
2038,2.327873,2.37686,2.26929
2039,2.329296,2.377289,2.258572
2040,2.337361,2.383307,2.244471
2041,2.338975,2.384329,2.246986
2042,2.33049,2.393344,2.229875
2043,2.324956,2.399361,2.231171
2044,2.325334,2.405715,2.208718
2045,2.328624,2.415164,2.219929
2046,2.32893,2.409762,2.205695
2047,2.323453,2.412868,2.186898
2048,2.318227,2.408626,2.174268
2049,2.323021,2.410629,2.169569
2050,2.320681,2.399166,2.19622
