Year,Median,Low,High
2020,18.17989765,18.17989765,18.17989765
2021,18.59662905,18.59662905,18.59662905
2022,19.01336046,19.01336046,19.01336046
2023,17.68020437,17.35705675,17.58615747
2024,18.14589425,17.35900311,18.2962119
2025,17.70272676,16.88905808,18.17373725
2026,17.345637,16.52301171,17.97599976
2027,17.07433804,16.26488172,17.80977735
2028,17.26721215,16.42161731,18.22845176
2029,17.37689116,16.4910327,19.02765278
2030,17.37273669,16.46959338,19.25541705
2031,17.5941216,16.52110143,19.60583886
2032,17.75470797,16.59802959,19.90578034
2033,17.81310293,16.59476524,20.12074227
2034,17.90223192,16.48276822,20.32448159
2035,17.99973024,16.47614473,20.40067987
2036,18.14171797,16.44865241,20.55086076
2037,18.32888304,16.45244026,20.76765915
2038,18.44282055,16.55612414,20.83458622
2039,18.50028764,16.54423793,20.92439978
2040,18.69989599,16.8181242,20.66004647
2041,18.78693179,16.93049288,20.58368124
2042,18.8005412,16.9066374,20.6383001
2043,18.99515026,17.1391132,20.87718044
2044,19.21974499,17.24094553,21.07204705
2045,19.30290402,17.27337338,21.38831529
2046,19.49023688,17.46276586,21.46934759
2047,19.50690929,17.35041648,21.49658571
2048,19.44108796,17.40294217,21.32416766
2049,19.43723299,17.59233884,21.34490477
2050,19.37936908,17.69973088,21.43293138
