year,min,max,median
2020,5.733345,5.773527,5.773527
2021,5.733345,5.773527,5.772297
2022,4.263716,5.214571,4.529773
2023,3.863324,5.096479,4.25642
2024,3.53085,4.96057,3.960189
2025,3.346811,4.906318,3.77422
2026,3.263344,4.951035,3.756116
2027,3.302303,5.027453,3.846275
2028,3.437775,5.256451,3.984769
2029,3.428842,5.526153,4.019134
2030,3.479884,5.650456,4.093107
2031,3.525818,5.757059,4.154446
2032,3.536491,5.914778,4.178987
2033,3.61108,6.023768,4.228987
2034,3.615962,6.14549,4.173585
2035,3.574864,6.202742,4.16081
2036,3.567155,6.39736,4.137943
2037,3.556067,6.405207,4.157394
2038,3.536017,6.471724,4.184252
2039,3.54853,6.584489,4.191122
2040,3.531831,6.727114,4.23641
2041,3.5032,6.710034,4.266919
2042,3.442604,6.683213,4.246468
2043,3.439433,6.64529,4.238985
2044,3.41015,6.773589,4.18163
2045,3.40354,6.793787,4.166679
2046,3.432199,6.808254,4.174084
2047,3.529445,6.8459,4.165568
2048,3.376642,6.919118,4.171139
2049,3.382588,7.013579,4.168992
2050,3.39555,7.144463,4.171726
