Year,95% Lower Bound,95% Upper Bound,Median
2020,3272,3272,3272
2021,3256,3256,3256
2022,3250,3255,3252
2023,3251,3268,3260
2024,3253,3282,3269
2025,3253,3295,3275
2026,3248,3305,3279
2027,3240,3313,3280
2028,3230,3319,3278
2029,3215,3320,3272
2030,3195,3316,3260
2031,3169,3307,3242
2032,3139,3293,3220
2033,3106,3277,3195
2034,3071,3260,3169
2035,3037,3242,3143
2036,3004,3224,3117
2037,2971,3205,3091
2038,2937,3186,3064
2039,2904,3168,3037
2040,2870,3149,3010
2041,2835,3131,2983
2042,2800,3112,2956
2043,2766,3092,2928
2044,2731,3072,2900
2045,2695,3052,2872
2046,2660,3032,2844
2047,2624,3012,2815
2048,2589,2991,2786
2049,2552,2968,2757
2050,2514,2944,2728
