Name,Type,Replacement Cost,Line Length,Poles Distance,Fixed Cost
DL01,distributionLine,1077.04083,140.0765427,70,0
DL02,distributionLine,1092.93857,150.4100684,70,0
DL03,distributionLine,1616.48441,210.7148633,70,0
DL04,distributionLine,1125.15455,171.3504569,70,0
DL05,distributionLine,1126.8374,172.4443125,70,0
DL06,distributionLine,1648.8164,231.7306614,70,0
DL07,distributionLine,1650.52813,232.843283,70,0
DL08,distributionLine,1126.87073,172.4659736,70,0
DL09,distributionLine,1057.33201,127.2658086,70,0
DL10,distributionLine,1122.24814,169.4612922,70,0
DL11,distributionLine,1627.43209,217.8308613,70,0
DL12,distributionLine,1124.45093,170.8931044,70,0
DL13,distributionLine,1653.4346,234.7324901,70,0
DL14,distributionLine,1124.45751,170.8973837,70,0
DL15,distributionLine,1124.46461,170.9019949,70,0
DL16,distributionLine,1126.14816,171.9963058,70,0
DL17,distributionLine,1628.28744,218.3868359,70,0
DL18,distributionLine,1124.48432,170.9148094,70,0
DL19,distributionLine,1624.52464,215.9410135,70,0
DL20,distributionLine,1124.49785,170.9236017,70,0
DL21,distributionLine,1621.10254,213.716649,70,0
DL22,distributionLine,1124.50431,170.9277989,70,0
DL23,distributionLine,1625.7214,216.718912,70,0
DL24,distributionLine,1124.51085,170.9320548,70,0
DL25,distributionLine,1621.44468,213.9390389,70,0
DL26,distributionLine,1626.40639,217.1641552,70,0
DL27,distributionLine,1124.51732,170.9362559,70,0
DL28,distributionLine,1124.54405,170.9536348,70,0
DL29,distributionLine,1129.94591,174.4648399,70,0
DL30,distributionLine,1124.54932,170.95706,70,0
DL31,distributionLine,1124.14376,170.6934415,70,0
DL32,distributionLine,1624.37699,215.8450408,70,0
DL33,distributionLine,1121.31288,168.8533692,70,0
DL34,distributionLine,1630.35518,219.7308641,70,0
DL35,distributionLine,1629.68492,219.2951978,70,0
DL36,distributionLine,1120.14006,168.0910379,70,0
DL37,distributionLine,1591.79443,194.6663798,70,0
DL38,distributionLine,1589.57783,193.225588,70,0
DL39,distributionLine,1589.5851,193.2303133,70,0
DL40,distributionLine,1589.59254,193.235152,70,0
DL41,distributionLine,1589.60056,193.2403659,70,0
DL42,distributionLine,1589.60795,193.2451671,70,0
DL43,distributionLine,1588.10852,192.270539,70,0
DL44,distributionLine,1581.50859,187.9805843,70,0
DL45,distributionLine,1589.64545,193.2695427,70,0
DL46,distributionLine,1589.24841,193.0114658,70,0
DL47,distributionLine,1589.66016,193.2791051,70,0
DL48,distributionLine,1589.67562,193.2891505,70,0
DL49,distributionLine,1589.68298,193.2939347,70,0
DL50,distributionLine,1589.69039,193.2987556,70,0
DL51,distributionLine,1589.69635,193.3026285,70,0
DL52,distributionLine,1587.95902,192.1733642,70,0
DL53,distributionLine,1586.4734,191.2077104,70,0
DL54,distributionLine,1584.83588,190.143321,70,0
DL55,distributionLine,1562.87468,175.868544,70,0
DL56,distributionLine,1127.33438,172.7673482,70,0
DL57,distributionLine,1125.455,171.545752,70,0
DL58,distributionLine,1125.47306,171.5574911,70,0
DL59,distributionLine,1125.75881,171.7432272,70,0
DL60,distributionLine,1123.93987,170.5609144,70,0
DL61,distributionLine,1123.88605,170.5259307,70,0
DL62,distributionLine,1126.91239,172.4930553,70,0
